Face Value,Coupon Rate,Frequency,Maturity
5000,0.06,1,21
1000,0.05,1,20
5000,0.03,2,8
1000,0.06,1,24
10000,0.07,2,21
5000,0.07,1,1
10000,0.04,2,2
1000,0.05,2,11
5000,0.06,1,4
5000,0.06,1,1
1000,0.03,2,13
1000,0.04,2,15
1000,0.05,1,18
10000,0.06,1,19
10000,0.06,1,20
10000,0.05,2,19
1000,0.05,1,12
10000,0.07,2,14
10000,0.04,1,22
10000,0.06,2,27
10000,0.07,2,26
1000,0.04,1,11
5000,0.05,2,22
5000,0.07,2,29
5000,0.04,2,10
5000,0.07,1,28
1000,0.04,2,11
1000,0.06,1,30
1000,0.07,1,3
5000,0.04,2,4
5000,0.05,2,18
5000,0.07,1,3
10000,0.05,2,29
10000,0.03,2,18
5000,0.05,2,22
10000,0.07,1,7
5000,0.06,1,13
1000,0.05,2,25
1000,0.05,2,9
10000,0.06,2,28
1000,0.04,2,24
5000,0.07,1,8
10000,0.06,2,1
1000,0.04,2,21
5000,0.03,1,17
1000,0.06,1,28
10000,0.04,2,4
10000,0.04,2,22
5000,0.03,1,18
10000,0.03,1,18
1000,0.06,1,15
1000,0.03,1,17
5000,0.03,2,4
1000,0.04,1,14
1000,0.06,2,27
5000,0.05,2,3
10000,0.03,1,22
1000,0.03,2,5
5000,0.07,1,4
1000,0.06,2,1
5000,0.05,1,13
5000,0.06,2,23
10000,0.05,1,23
5000,0.06,1,10
10000,0.05,1,23
1000,0.03,1,10
5000,0.03,2,29
10000,0.07,2,11
1000,0.06,2,20
10000,0.04,1,3
10000,0.06,1,24
5000,0.07,2,29
10000,0.07,1,4
10000,0.05,2,27
10000,0.07,1,19
1000,0.03,1,29
10000,0.07,2,15
5000,0.07,2,6
1000,0.03,2,21
1000,0.07,2,9
5000,0.03,2,5
10000,0.07,2,21
5000,0.03,2,30
1000,0.03,1,16
1000,0.03,2,6
5000,0.05,2,7
10000,0.07,2,10
10000,0.03,1,5
1000,0.05,2,27
5000,0.04,1,4
10000,0.04,1,19
1000,0.06,2,24
10000,0.05,1,2
5000,0.05,1,18
10000,0.03,1,9
1000,0.04,1,7
1000,0.04,2,29
5000,0.03,2,25
10000,0.06,2,30
5000,0.03,2,1
10000,0.05,1,5
10000,0.05,2,21
1000,0.03,1,5
5000,0.06,2,11
1000,0.03,1,11
1000,0.04,2,16
10000,0.07,2,6
5000,0.04,2,30
10000,0.05,1,16
1000,0.03,2,2
1000,0.03,1,24
5000,0.07,2,25
5000,0.07,1,17
1000,0.05,1,8
5000,0.04,1,1
1000,0.05,2,9
5000,0.05,1,28
10000,0.04,1,27
5000,0.05,2,1
5000,0.07,2,15
1000,0.06,2,3
10000,0.04,2,12
5000,0.06,2,21
5000,0.04,2,17
10000,0.05,2,24
5000,0.07,2,21
10000,0.04,2,2
10000,0.03,1,25
10000,0.04,1,26
10000,0.05,1,4
1000,0.07,2,12
5000,0.07,2,10
10000,0.04,2,25
1000,0.05,2,4
10000,0.04,2,4
10000,0.03,2,13
1000,0.03,2,1
10000,0.06,1,17
1000,0.05,2,10
5000,0.04,2,1
10000,0.06,2,25
10000,0.05,2,7
1000,0.04,1,8
5000,0.07,2,4
10000,0.03,2,25
10000,0.07,2,12
1000,0.03,2,2
10000,0.06,1,19
1000,0.06,2,26
1000,0.03,1,13
10000,0.03,2,14
5000,0.03,2,10
10000,0.05,1,12
10000,0.04,1,8
1000,0.07,2,24
10000,0.03,1,15
1000,0.06,1,23
1000,0.04,1,5
10000,0.07,1,28
10000,0.04,2,1
5000,0.07,1,18
10000,0.06,2,30
10000,0.04,2,22
10000,0.06,1,4
1000,0.03,1,6
10000,0.06,2,19
5000,0.03,1,6
10000,0.04,2,21
10000,0.05,2,9
1000,0.05,1,15
1000,0.04,1,4
5000,0.03,1,22
5000,0.07,1,14
10000,0.06,2,10
5000,0.04,1,21
10000,0.06,1,27
1000,0.04,2,7
10000,0.04,2,20
1000,0.05,2,1
5000,0.03,1,29
10000,0.05,1,19
10000,0.05,2,19
5000,0.05,1,27
10000,0.05,1,10
1000,0.07,1,6
1000,0.07,2,26
5000,0.05,1,11
5000,0.06,2,28
5000,0.03,1,24
5000,0.03,2,9
1000,0.04,1,4
5000,0.04,1,20
10000,0.07,1,13
10000,0.06,2,13
5000,0.06,2,10
10000,0.07,2,13
1000,0.04,2,6
1000,0.06,1,20
1000,0.06,1,22
5000,0.03,1,3
10000,0.03,1,14
1000,0.03,2,14
5000,0.04,2,16
1000,0.04,2,5
10000,0.07,1,24
1000,0.06,1,4
10000,0.07,1,14
5000,0.07,1,1
5000,0.07,2,21
10000,0.07,1,2
10000,0.05,2,22
10000,0.05,2,14
1000,0.06,1,1
5000,0.03,1,9
5000,0.06,1,24
10000,0.07,1,4
1000,0.06,2,6
5000,0.04,2,27
10000,0.07,2,9
5000,0.07,2,3
5000,0.04,2,15
10000,0.07,2,21
10000,0.07,2,17
5000,0.04,1,20
10000,0.07,2,12
10000,0.07,1,28
5000,0.04,1,9
1000,0.03,2,9
1000,0.05,1,23
5000,0.06,1,18
1000,0.03,2,26
10000,0.04,1,2
10000,0.04,1,3
10000,0.06,1,21
5000,0.05,2,15
10000,0.03,1,12
1000,0.04,1,12
1000,0.06,1,19
5000,0.07,1,23
1000,0.06,2,5
10000,0.03,2,1
1000,0.07,2,14
5000,0.07,2,5
1000,0.03,1,17
10000,0.06,2,8
5000,0.07,2,26
1000,0.07,1,4
1000,0.07,2,26
5000,0.04,2,10
5000,0.04,1,13
10000,0.05,1,16
1000,0.03,2,22
1000,0.07,2,16
5000,0.06,1,8
10000,0.03,2,6
1000,0.07,2,29
1000,0.03,2,20
10000,0.04,1,23
5000,0.04,1,23
1000,0.05,2,25
5000,0.04,1,6
1000,0.07,1,17
5000,0.03,2,29
5000,0.03,1,22
5000,0.03,2,29
1000,0.06,1,27
10000,0.03,2,19
5000,0.04,1,1
1000,0.07,2,6
5000,0.04,1,22
5000,0.03,2,19
5000,0.04,2,14
1000,0.03,2,24
10000,0.06,1,11
5000,0.07,2,29
1000,0.03,2,22
5000,0.05,1,27
10000,0.07,2,30
5000,0.07,1,25
10000,0.04,2,12
1000,0.03,1,24
1000,0.03,1,9
1000,0.05,2,29
10000,0.06,1,6
5000,0.05,2,12
1000,0.04,1,17
1000,0.07,2,18
1000,0.06,1,18
1000,0.06,1,26
5000,0.06,1,13
5000,0.07,2,18
10000,0.06,2,25
5000,0.06,2,9
1000,0.06,2,13
1000,0.07,2,24
10000,0.06,1,5
1000,0.03,1,12
1000,0.07,1,29
1000,0.05,1,18
10000,0.06,1,26
5000,0.05,2,21
10000,0.03,1,24
10000,0.05,2,2
5000,0.05,1,17
1000,0.04,1,22
1000,0.07,2,28
1000,0.07,2,3
1000,0.03,1,1
10000,0.04,2,12
10000,0.03,1,16
1000,0.04,1,1
5000,0.07,1,10
10000,0.07,2,22
10000,0.03,2,11
5000,0.03,1,4
10000,0.03,1,21
5000,0.07,1,14
5000,0.04,1,6
10000,0.06,1,24
1000,0.03,2,30
1000,0.05,2,15
1000,0.04,1,24
5000,0.03,1,6
1000,0.07,1,2
1000,0.06,2,17
1000,0.05,1,3
10000,0.06,2,27
10000,0.04,2,25
10000,0.04,1,3
5000,0.04,1,2
1000,0.07,2,13
5000,0.04,2,15
5000,0.04,2,4
1000,0.07,1,1
1000,0.03,2,9
1000,0.07,2,28
1000,0.07,2,30
10000,0.04,2,23
1000,0.06,1,26
10000,0.05,1,13
10000,0.07,1,12
5000,0.07,1,18
1000,0.03,2,14
5000,0.03,2,3
10000,0.05,2,18
5000,0.03,1,23
10000,0.06,2,5
1000,0.06,1,28
10000,0.07,1,23
1000,0.06,1,17
10000,0.06,1,3
1000,0.05,1,4
1000,0.04,1,21
1000,0.06,2,2
5000,0.04,1,5
1000,0.05,2,1
5000,0.03,2,20
5000,0.05,2,16
1000,0.06,2,3
10000,0.04,2,15
5000,0.06,1,15
10000,0.05,2,11
10000,0.06,2,28
1000,0.06,1,17
1000,0.04,1,23
5000,0.06,2,25
10000,0.03,2,15
5000,0.07,1,9
10000,0.05,1,27
1000,0.04,1,29
1000,0.03,2,20
10000,0.04,2,3
5000,0.07,2,2
10000,0.07,1,17
5000,0.07,1,14
1000,0.07,1,21
5000,0.04,1,8
10000,0.06,1,28
5000,0.04,2,17
5000,0.04,1,19
10000,0.03,2,9
10000,0.04,2,13
10000,0.03,1,27
5000,0.04,2,1
5000,0.06,1,11
5000,0.06,1,28
1000,0.04,2,23
10000,0.06,2,1
10000,0.03,2,18
1000,0.04,1,2
5000,0.05,1,12
1000,0.03,2,10
10000,0.03,2,28
5000,0.06,2,9
10000,0.03,1,1
1000,0.03,1,4
5000,0.03,2,8
10000,0.07,2,13
10000,0.06,1,13
1000,0.03,1,5
1000,0.05,2,18
5000,0.06,1,19
1000,0.07,1,14
1000,0.07,1,21
5000,0.06,2,26
1000,0.03,1,29
10000,0.06,2,26
5000,0.05,1,7
1000,0.07,1,24
5000,0.04,2,19
10000,0.06,1,9
1000,0.04,1,19
1000,0.06,1,9
1000,0.03,2,6
5000,0.03,1,29
5000,0.07,1,13
1000,0.06,1,1
10000,0.05,2,5
1000,0.04,1,6
10000,0.04,1,13
10000,0.04,2,7
10000,0.05,2,2
5000,0.03,2,4
1000,0.04,1,24
10000,0.07,1,15
10000,0.07,2,28
10000,0.05,2,29
5000,0.05,1,23
5000,0.07,1,27
5000,0.06,2,10
10000,0.07,2,27
1000,0.05,1,8
5000,0.03,1,8
10000,0.04,2,6
5000,0.03,1,17
1000,0.05,1,19
1000,0.07,1,1
10000,0.04,1,30
10000,0.07,2,23
10000,0.07,2,9
5000,0.04,1,25
10000,0.06,1,12
10000,0.04,1,14
1000,0.03,1,27
10000,0.06,2,16
5000,0.06,2,8
10000,0.04,2,7
10000,0.06,1,21
1000,0.04,1,12
10000,0.05,2,12
1000,0.03,2,12
1000,0.04,1,5
5000,0.05,1,23
5000,0.05,2,17
5000,0.04,1,27
5000,0.07,2,24
1000,0.06,2,23
5000,0.05,2,25
10000,0.03,2,8
5000,0.07,1,12
10000,0.03,1,6
1000,0.04,1,25
1000,0.03,2,14
10000,0.04,1,17
1000,0.05,1,4
1000,0.03,2,6
5000,0.06,1,6
1000,0.07,1,27
5000,0.05,2,3
10000,0.03,2,11
10000,0.07,1,29
5000,0.07,2,26
10000,0.04,2,2
10000,0.04,2,1
5000,0.06,1,18
1000,0.04,1,26
10000,0.07,2,19
10000,0.06,2,25
5000,0.04,1,29
5000,0.04,2,9
1000,0.05,2,24
10000,0.06,2,10
5000,0.03,2,16
5000,0.03,1,24
1000,0.06,1,19
1000,0.06,2,20
5000,0.04,2,22
5000,0.06,2,4
1000,0.04,2,5
10000,0.06,2,29
5000,0.04,1,29
1000,0.06,2,10
10000,0.07,2,16
10000,0.03,2,4
1000,0.05,1,26
10000,0.03,1,28
1000,0.03,1,1
1000,0.07,2,24
10000,0.06,2,25
10000,0.03,2,9
5000,0.06,2,8
10000,0.03,1,9
1000,0.07,2,16
10000,0.03,1,11
5000,0.03,2,26
10000,0.05,2,6
10000,0.07,2,16
1000,0.03,2,9
10000,0.07,1,5
10000,0.07,2,2
1000,0.06,1,2
1000,0.06,2,26
1000,0.04,1,15
1000,0.04,2,11
1000,0.03,2,21
1000,0.07,1,28
5000,0.07,2,3
5000,0.04,2,7
1000,0.05,2,23
5000,0.06,2,17
1000,0.04,1,10
10000,0.03,1,14
10000,0.07,2,7
10000,0.05,1,6
10000,0.06,2,19
1000,0.05,1,26
10000,0.04,2,19
5000,0.06,2,1
10000,0.05,1,1
5000,0.05,2,2
10000,0.06,2,17
5000,0.04,2,9
1000,0.05,1,14
5000,0.07,1,3
1000,0.03,2,27
10000,0.07,1,19
5000,0.04,2,13
5000,0.04,1,2
10000,0.05,1,10
1000,0.06,2,21
1000,0.05,2,12
1000,0.03,2,16
1000,0.06,2,8
10000,0.03,2,20
1000,0.06,1,29
10000,0.03,2,9
1000,0.06,2,19
10000,0.04,2,30
5000,0.03,1,12
5000,0.06,1,3
10000,0.07,1,19
5000,0.04,2,17
1000,0.04,1,11
5000,0.06,1,8
5000,0.03,1,7
5000,0.03,2,7
1000,0.03,1,16
10000,0.05,2,11
10000,0.04,2,4
1000,0.07,2,7
10000,0.04,2,27
5000,0.05,1,12
10000,0.05,1,6
5000,0.03,1,10
5000,0.04,1,28
1000,0.03,2,19
1000,0.04,1,3
5000,0.05,1,14
10000,0.06,2,13
1000,0.05,2,19
10000,0.06,2,19
10000,0.06,1,27
10000,0.07,2,22
5000,0.07,2,15
10000,0.07,2,24
5000,0.05,2,27
1000,0.04,2,19
5000,0.05,1,2
1000,0.07,2,14
5000,0.05,1,11
1000,0.07,1,9
1000,0.03,2,27
5000,0.07,1,4
1000,0.07,2,23
5000,0.06,2,21
10000,0.06,2,27
1000,0.03,2,27
5000,0.05,1,25
5000,0.07,2,23
10000,0.04,1,24
1000,0.07,1,29
10000,0.06,1,26
1000,0.05,2,26
1000,0.05,2,13
10000,0.03,2,16
5000,0.04,2,21
5000,0.03,1,10
10000,0.05,1,24
10000,0.03,1,14
5000,0.07,1,26
5000,0.03,1,6
10000,0.04,2,9
5000,0.03,2,29
5000,0.04,2,12
1000,0.03,2,3
10000,0.04,2,27
5000,0.07,1,25
10000,0.03,2,8
10000,0.04,2,28
10000,0.03,2,23
10000,0.07,2,11
5000,0.03,1,21
10000,0.06,1,14
10000,0.07,1,4
1000,0.07,2,13
10000,0.05,2,28
10000,0.07,2,19
10000,0.05,2,7
5000,0.04,1,25
10000,0.07,1,26
10000,0.03,1,2
5000,0.06,1,17
5000,0.07,1,18
1000,0.06,2,21
1000,0.07,1,13
5000,0.06,2,15
5000,0.06,1,12
10000,0.03,2,19
5000,0.03,1,24
5000,0.05,1,24
1000,0.06,1,24
5000,0.03,1,7
1000,0.05,1,1
10000,0.03,1,19
10000,0.03,1,20
10000,0.05,2,1
10000,0.04,1,10
10000,0.07,1,23
5000,0.03,1,30
10000,0.04,1,1
10000,0.04,1,4
1000,0.03,1,2
10000,0.03,2,6
1000,0.06,2,29
10000,0.06,1,7
1000,0.05,1,24
5000,0.06,1,7
1000,0.05,1,19
5000,0.04,2,5
10000,0.03,2,12
10000,0.07,2,19
1000,0.04,1,18
10000,0.07,2,1
5000,0.05,1,3
1000,0.06,1,13
1000,0.05,1,20
5000,0.03,2,21
5000,0.05,1,7
1000,0.05,1,11
1000,0.07,2,9
1000,0.03,2,29
5000,0.07,1,18
1000,0.06,2,7
10000,0.07,2,14
10000,0.04,2,29
1000,0.03,2,29
5000,0.06,1,16
10000,0.04,2,16
1000,0.06,2,30
10000,0.03,1,24
1000,0.05,2,13
10000,0.06,1,16
1000,0.03,1,7
1000,0.07,1,19
1000,0.04,2,16
10000,0.06,2,5
1000,0.07,2,27
5000,0.07,1,20
10000,0.03,2,16
1000,0.07,2,1
5000,0.06,2,7
1000,0.05,2,9
1000,0.06,2,26
1000,0.06,1,22
10000,0.05,1,18
10000,0.05,2,29
10000,0.03,1,27
10000,0.06,2,16
1000,0.07,1,26
10000,0.03,1,18
10000,0.06,1,5
5000,0.03,2,6
1000,0.07,2,25
5000,0.04,2,21
1000,0.05,2,21
1000,0.07,2,26
10000,0.05,2,27
1000,0.03,2,13
5000,0.04,1,1
5000,0.04,2,25
1000,0.04,1,14
10000,0.04,1,10
1000,0.06,2,28
1000,0.05,1,6
5000,0.04,1,6
10000,0.06,1,26
10000,0.07,1,21
1000,0.04,2,13
1000,0.05,2,17
5000,0.03,2,12
10000,0.04,1,22
1000,0.04,1,20
10000,0.07,1,28
1000,0.04,1,7
1000,0.06,2,7
1000,0.06,1,9
5000,0.06,2,26
1000,0.07,2,26
10000,0.04,2,4
10000,0.07,1,14
5000,0.06,2,3
5000,0.07,2,8
1000,0.05,2,30
1000,0.05,1,14
10000,0.06,2,26
1000,0.03,2,9
10000,0.05,2,14
10000,0.07,1,7
1000,0.07,2,19
10000,0.03,2,21
1000,0.07,1,7
10000,0.07,2,26
1000,0.05,1,24
1000,0.06,1,5
1000,0.03,1,19
10000,0.05,1,1
10000,0.05,1,28
5000,0.04,2,29
10000,0.04,1,30
1000,0.06,1,21
1000,0.04,2,25
5000,0.03,2,7
5000,0.03,1,19
5000,0.06,2,19
1000,0.04,1,1
5000,0.04,2,3
1000,0.05,2,6
5000,0.07,2,17
10000,0.05,2,10
10000,0.06,1,21
1000,0.07,2,4
5000,0.06,2,18
5000,0.06,1,15
10000,0.07,1,8
10000,0.04,2,25
10000,0.06,1,4
1000,0.07,1,23
5000,0.03,2,7
10000,0.05,1,9
1000,0.06,1,17
5000,0.06,1,4
1000,0.03,2,14
10000,0.03,2,23
10000,0.06,2,14
10000,0.05,1,19
1000,0.03,2,4
1000,0.04,1,25
5000,0.04,1,16
1000,0.06,2,14
5000,0.04,2,10
10000,0.05,2,1
5000,0.03,2,20
5000,0.04,2,18
10000,0.06,2,23
5000,0.06,1,4
5000,0.04,1,3
5000,0.06,1,20
5000,0.04,2,14
5000,0.04,1,3
1000,0.05,1,30
1000,0.04,1,30
1000,0.07,2,24
10000,0.03,2,6
1000,0.06,1,14
5000,0.04,1,30
10000,0.03,1,7
5000,0.07,1,9
1000,0.04,1,24
1000,0.07,2,29
5000,0.07,1,25
5000,0.05,1,6
10000,0.06,1,20
5000,0.06,2,16
1000,0.07,1,13
1000,0.04,2,15
10000,0.04,1,5
5000,0.07,2,7
10000,0.05,1,21
5000,0.06,2,17
10000,0.04,2,19
1000,0.06,1,3
10000,0.06,2,15
10000,0.06,2,24
1000,0.03,2,29
10000,0.03,2,19
5000,0.03,2,29
1000,0.03,1,7
5000,0.07,1,20
1000,0.03,1,5
5000,0.06,2,23
1000,0.03,2,7
5000,0.07,2,11
1000,0.04,1,10
1000,0.04,1,14
10000,0.04,2,28
10000,0.04,1,17
10000,0.04,1,22
1000,0.07,2,22
5000,0.06,1,9
5000,0.06,2,5
1000,0.03,2,8
10000,0.07,1,6
10000,0.06,1,19
1000,0.06,1,30
5000,0.03,1,13
1000,0.05,2,30
1000,0.07,1,6
5000,0.06,1,13
5000,0.06,2,11
1000,0.07,2,25
5000,0.06,1,18
5000,0.05,1,12
1000,0.05,2,5
5000,0.07,1,11
5000,0.05,1,26
5000,0.05,1,8
1000,0.03,2,15
10000,0.06,1,20
1000,0.07,2,7
1000,0.04,1,16
1000,0.03,1,14
1000,0.04,1,17
1000,0.03,2,4
10000,0.03,1,27
10000,0.04,1,17
10000,0.05,1,11
5000,0.04,2,12
5000,0.07,2,7
10000,0.07,2,3
5000,0.03,1,14
5000,0.04,2,17
